code,description,subcategory,category,commoncat
a00,cholera,intestinal infectious diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a01,typhoid and paratyphoid fevers,intestinal infectious diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a02,other salmonella infections,intestinal infectious diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a03,shigellosis,intestinal infectious diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a04,other bacterial intestinal infections,intestinal infectious diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a05,"other bacterial foodborne intoxications, nec",intestinal infectious diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a06,amebiasis,intestinal infectious diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a07,other protozoal intestinal diseases,intestinal infectious diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a08,viral and other specified intestinal infections,intestinal infectious diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a09,"infectious gastroenteritis and colitis, unspecified",intestinal infectious diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a15,respiratory tuberculosis,tuberculosis,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a17,tuberculosis of nervous system,tuberculosis,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a18,tuberculosis of other organs,tuberculosis,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a19,miliary tuberculosis,tuberculosis,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a20,plague,certain zoonotic bacterial diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a21,tularemia,certain zoonotic bacterial diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a22,anthrax,certain zoonotic bacterial diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a23,brucellosis,certain zoonotic bacterial diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a24,glanders and melioidosis,certain zoonotic bacterial diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a25,rat-bite fevers,certain zoonotic bacterial diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a26,erysipeloid,certain zoonotic bacterial diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a27,leptospirosis,certain zoonotic bacterial diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a28,"other zoonotic bacterial diseases, nec",certain zoonotic bacterial diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a30,leprosy [hansen's disease],other bacterial diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a31,infection due to other mycobacteria,other bacterial diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a32,listeriosis,other bacterial diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a33,tetanus neonatorum,other bacterial diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a34,obstetrical tetanus,other bacterial diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a35,other tetanus,other bacterial diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a36,diphtheria,other bacterial diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a37,whooping cough,other bacterial diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a38,scarlet fever,other bacterial diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a39,meningococcal infection,other bacterial diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a40,streptococcal sepsis,other bacterial diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a41,other sepsis,other bacterial diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a42,actinomycosis,other bacterial diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a43,nocardiosis,other bacterial diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a44,bartonellosis,other bacterial diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a46,erysipelas,other bacterial diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a48,"other bacterial diseases, nec",other bacterial diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
