subcategory,,category
INTESTINAL AND INFECTIOUS DISEASES,,INFECTIONS AND PARASITIC DISEASES
TUBERCULOSIS,,INFECTIONS AND PARASITIC DISEASES
ZOONOTIC BACTERIAL DISEASE,,INFECTIONS AND PARASITIC DISEASES
OTHER BACTERIAL DISEASES,,INFECTIONS AND PARASITIC DISEASES
POLIOMYELITIS AND OTHER NON-ARTHROPOD BORNE VIRAL DISEASES OF CENTRAL NERVOUS SYSTEM,,INFECTIONS AND PARASITIC DISEASES
VIRAL DISEASES ACCOMPANIED BY EXANTHEM,,INFECTIONS AND PARASITIC DISEASES
OTHER DISEASES DUE TO VIRUSES AND CHLAMYDIAE,,INFECTIONS AND PARASITIC DISEASES
RICKETTSIOSIS AND OTHER ARTHROPOD-BORNE DISEASES,,INFECTIONS AND PARASITIC DISEASES
SYPHILIS AND OTHER VENEREAL DISEASES,,INFECTIONS AND PARASITIC DISEASES
OTHER SPIROCHAETAL DISEASES,,INFECTIONS AND PARASITIC DISEASES
HELMINTHIASES,,INFECTIONS AND PARASITIC DISEASES
OTHER INFECTIOUS AND PARASITIC DISEASES,,INFECTIONS AND PARASITIC DISEASES
LATE EFFECTS OF INFECTIOUS AND PARASITIC DISEASES,,INFECTIONS AND PARASITIC DISEASES
"MALIGNANT NEOPLASM OF LIP, ORAL CAVITY AND PHARYNX",,NEOPLASMS
MALIGNANT NEOPLASM OF DIGESTIVE ORGANS AND PERITONEUM,,NEOPLASMS
MALIGNANT NEOPLASM OF RESPIRATORY AND INTRATHORACIC ORGANS,,NEOPLASMS
"MALIGNANT NEOPLASM OF BONE, CONNECTIVE TISSUE, SKIN AND BREAST",,NEOPLASMS
MALIGNANT NEOPLASM OF GENITOURINARY ORGANS,,NEOPLASMS
MALIGNANT NEOPLASM OF OTHER AND UNSPECIFIED SITES,,NEOPLASMS
MALIGNANT NEOPLASM OF LYMPHATIC AND HAEMATOPOIETIC TISSUE,,NEOPLASMS
BENIGN NEOPLASM,,NEOPLASMS
CARCINOMA IN SITU,,NEOPLASMS
NEOPLASMS OF UNCERTAIN BEHAVIOUR,,NEOPLASMS
NEOPLASMS OF UNSPECIFIED NATURE,,NEOPLASMS
DISORDERS OF THYROID GLAND,,"ENDOCRINE, NUTRITIONAL AND METABOLIC DISEASES AND IMMUNITY DISORDERS"
DISEASES OF OTHER ENDOCRINE GLANDS,,"ENDOCRINE, NUTRITIONAL AND METABOLIC DISEASES AND IMMUNITY DISORDERS"
NUTRITIONAL DEFICIENCES,,"ENDOCRINE, NUTRITIONAL AND METABOLIC DISEASES AND IMMUNITY DISORDERS"
OTHER METABOLIC DISORDERS AND IMMUNITY DISORDERS,,"ENDOCRINE, NUTRITIONAL AND METABOLIC DISEASES AND IMMUNITY DISORDERS"
DISEASES OF BLOOD AND BLOOD FORMING ORGANS,,DISEASES OF THE BLOOD AND BLOOD FORMING ORGANS
ORGANIC PSYCHOTIC CONDITIONS,,MENTAL DISORDERS
OTHER PSYCHOSES,,MENTAL DISORDERS
"NEUROTIC DISORDERS, PERSONALITY DISORDERS AND OTHER NONPSYCHOTIC MENTAL DISORDERS",,MENTAL DISORDERS
MENTAL RETARDATION,,MENTAL DISORDERS
