code,description,category,subcategory,commoncat
001,cholera,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
001.0,due to vibrio cholerae,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
001.1,due to vibrio cholerae el tor,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
001.9,unspecified,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
002,typhoid and paratyphoid fevers,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
002.0,typhoid fever,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
002.1,paratyphoid fever 'a',infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
002.2,paratyphoid fever 'b',infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
002.3,paratyphoid fever 'c',infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
002.9,"paratyphoid fever, unspecified",infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
003,other salmonella infections,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
003.0,salmonella gastroenteritis,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
003.1,salmonella septicaemia,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
003.2,localized salmonella infections,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
003.8,other,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
003.9,unspecified,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
004,shigellosis,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
004.0,shigella dysenteriae,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
004.1,shigella flexneri,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
004.2,shigella boydii,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
004.3,shigella sonnei,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
004.8,other,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
004.9,unspecified,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
005,other food poisoning (bacterial),infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
005.0,staphylococcal food poisoning,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
005.1,botulism,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
005.2,food poisoning due to clostridium perfringens (cl.welchii),infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
005.3,food poisoning due to other clostridia,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
005.4,food poisoning due to vibrio parahaemolyticus,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
005.8,other bacterial food poisoning,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
005.9,"food poisoning, unspecified",infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
006,amoebiasis,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
006.0,acute amoebic dysentery without mention of abscess,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
006.1,chronic intestinal amoebiasis without mention of abscess,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
006.2,amoebic nondysenteric colitis,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
006.3,amoebic liver abscess,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
006.4,amoebic lung abscess,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
006.5,amoebic brain abscess,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
006.6,amoebic skin ulceration,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
006.8,amoebic infection of other sites,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
006.9,"amoebiasis, unspecified",infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
007,other protozoal intestinal diseases,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
007.0,balantidiasis,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
007.1,giardiasis,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
007.2,coccidiosis,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
007.3,intestinal trichomoniasis,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
007.8,other protozoal intestinal diseases,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
007.9,unspecified,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
008,intestinal infections due to other organisms,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
008.0,escherichia coli,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
008.1,arizona,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
008.2,aerobacter aerogenes,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
008.3,proteus (mirabilis) (morganii),infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
008.4,other specified bacteria,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
008.5,"bacterial enteritis, unspecified",infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
008.6,enteritis due to specified virus,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
008.8,"other organism, not elsewhere classified",infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
009,ill-defined intestinal infections,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
009.0,"infectious colitis, enteritis and gastroenteritis",infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
009.1,"colitis, enteritis and gastroenteritis of presumed infectious origin",infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
009.2,infectious diarrhoea,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
