code,description,category,subcategory,commoncat
001,cholera,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
002,typhoid and paratyphoid fevers,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
003,other salmonella infections,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
004,shigellosis,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
005,other food poisoning (bacterial),infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
006,amoebiasis,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
007,other protozoal intestinal diseases,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
008,intestinal infections due to other organisms,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
009,ill-defined intestinal infections,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
010,primary tuberculous infection,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
011,pulmonary tuberculosis,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
012,other respiratory tuberculosis,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
013,tuberculosis of meninges and central nervous system,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
014,"tuberculosis of intestines, peritoneum and mesenteric glands",infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
015,tuberculosis of bones and joints,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
016,tuberculosis of genitourinary system,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
017,tuberculosis of other organs,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
018,miliary tuberculosis,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
020,plague,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
021,tularaemia,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
022,anthrax,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
023,brucellosis,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
024,glanders,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
025,melioidosis,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
026,rat-bite fever,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
027,other zoonotic bacterial diseases,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
030,leprosy,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
031,diseases due to other mycobacteria,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
032,diphtheria,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
033,whooping cough,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
034,streptococcal sore throat and scarlatina,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
035,erysipelas,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
036,meningococcal infection,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
037,tetanus,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
038,septicaemia,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
039,actinomycotic infections,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
040,other bacterial diseases,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
041,bacterial infection in conditions classified elsewhere and of unspecified site,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
042,human immunodeficiency virus (hiv) infection with specified conditions,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
043,human immunodeficiency virus (hiv) infection causing other specified conditions,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
044,other human immunodeficiency virus (hiv) infection,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
