code,description,category,subcategory,commoncat,description_clean,icd10subcategory,MatchStage,MatchedBDescription
001,cholera,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases,cholera,intestinal infectious diseases,subcategory,
002,typhoid and paratyphoid fevers,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases,typhoid and paratyphoid fevers,intestinal infectious diseases,subcategory,
003,other salmonella infections,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases,other salmonella infections,intestinal infectious diseases,subcategory,
004,shigellosis,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases,shigellosis,intestinal infectious diseases,subcategory,
005,other food poisoning (bacterial),infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases,other food poisoning bacterial,intestinal infectious diseases,subcategory,
006,amoebiasis,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases,amoebiasis,intestinal infectious diseases,subcategory,
007,other protozoal intestinal diseases,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases,other protozoal intestinal diseases,intestinal infectious diseases,subcategory,
008,intestinal infections due to other organisms,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases,intestinal infections due to other organisms,intestinal infectious diseases,subcategory,
009,ill-defined intestinal infections,infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases,illdefined intestinal infections,intestinal infectious diseases,subcategory,
010,primary tuberculous infection,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases,primary tuberculous infection,tuberculosis,subcategory,
011,pulmonary tuberculosis,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases,pulmonary tuberculosis,tuberculosis,subcategory,
012,other respiratory tuberculosis,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases,other respiratory tuberculosis,tuberculosis,subcategory,
013,tuberculosis of meninges and central nervous system,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases,tuberculosis of meninges and central nervous system,tuberculosis,subcategory,
