"code","description","subcategory","commoncat","icd10subcategory","MatchStage","manual_icd10"
"001","cholera","intestinal and infectious diseases","certain infectious and parasitic diseases","intestinal infectious diseases","fuzzy by subcategory",NA
"002","typhoid and paratyphoid fevers","intestinal and infectious diseases","certain infectious and parasitic diseases","intestinal infectious diseases","fuzzy by subcategory",NA
"003","other salmonella infections","intestinal and infectious diseases","certain infectious and parasitic diseases","intestinal infectious diseases","fuzzy by subcategory",NA
"004","shigellosis","intestinal and infectious diseases","certain infectious and parasitic diseases","intestinal infectious diseases","fuzzy by subcategory",NA
"005","other food poisoning (bacterial)","intestinal and infectious diseases","certain infectious and parasitic diseases","intestinal infectious diseases","fuzzy by subcategory",NA
"006","amoebiasis","intestinal and infectious diseases","certain infectious and parasitic diseases","intestinal infectious diseases","fuzzy by subcategory",NA
"007","other protozoal intestinal diseases","intestinal and infectious diseases","certain infectious and parasitic diseases","intestinal infectious diseases","fuzzy by subcategory",NA
"008","intestinal infections due to other organisms","intestinal and infectious diseases","certain infectious and parasitic diseases","intestinal infectious diseases","fuzzy by subcategory",NA
"009","ill-defined intestinal infections","intestinal and infectious diseases","certain infectious and parasitic diseases","intestinal infectious diseases","fuzzy by subcategory",NA
"010","primary tuberculous infection","tuberculosis","certain infectious and parasitic diseases","tuberculosis","fuzzy by subcategory",NA
"011","pulmonary tuberculosis","tuberculosis","certain infectious and parasitic diseases","tuberculosis","fuzzy by subcategory",NA
"012","other respiratory tuberculosis","tuberculosis","certain infectious and parasitic diseases","tuberculosis","fuzzy by subcategory",NA
"013","tuberculosis of meninges and central nervous system","tuberculosis","certain infectious and parasitic diseases","tuberculosis","fuzzy by subcategory",NA
"014","tuberculosis of intestines, peritoneum and mesenteric glands","tuberculosis","certain infectious and parasitic diseases","tuberculosis","fuzzy by subcategory",NA
"015","tuberculosis of bones and joints","tuberculosis","certain infectious and parasitic diseases","tuberculosis","fuzzy by subcategory",NA
"016","tuberculosis of genitourinary system","tuberculosis","certain infectious and parasitic diseases","tuberculosis","fuzzy by subcategory",NA
"017","tuberculosis of other organs","tuberculosis","certain infectious and parasitic diseases","tuberculosis","fuzzy by subcategory",NA
"018","miliary tuberculosis","tuberculosis","certain infectious and parasitic diseases","tuberculosis","fuzzy by subcategory",NA
"01a","dizziness, vertigo, insomnia","additional diagnostic codes","nan","symptoms and signs involving cognition, perception, emotional state and behavior","manual by code","r42"
"01b","tuberculosin skin test","additional diagnostic codes","nan","no conversion",NA,NA
"01e","eye tests","additional diagnostic codes","nan","persons encountering health services for examinations","manual by code","z01"
"01f","ear tests","additional diagnostic codes","nan","persons encountering health services for examinations","manual by code","z01"
"01h","hospital","additional diagnostic codes","nan","no conversion",NA,NA
"01l","laboratory","additional diagnostic codes","nan","persons encountering health services for examinations","manual by code","z01"
"01x","x-ray","additional diagnostic codes","nan","exposure to electric current, radiation and extreme ambient air temperature and pressure","manual by code","w88"
"01z","anaesthetic","additional diagnostic codes","nan","no conversion",NA,NA
"020","plague","zoonotic bacterial disease","certain infectious and parasitic diseases","certain zoonotic bacterial diseases","fuzzy by subcategory",NA
"021","tularaemia","zoonotic bacterial disease","certain infectious and parasitic diseases","certain zoonotic bacterial diseases","fuzzy by subcategory",NA
"022","anthrax","zoonotic bacterial disease","certain infectious and parasitic diseases","certain zoonotic bacterial diseases","fuzzy by subcategory",NA
"023","brucellosis","zoonotic bacterial disease","certain infectious and parasitic diseases","certain zoonotic bacterial diseases","fuzzy by subcategory",NA
"024","glanders","zoonotic bacterial disease","certain infectious and parasitic diseases","certain zoonotic bacterial diseases","fuzzy by subcategory",NA
"025","melioidosis","zoonotic bacterial disease","certain infectious and parasitic diseases","certain zoonotic bacterial diseases","fuzzy by subcategory",NA
"026","rat-bite fever","zoonotic bacterial disease","certain infectious and parasitic diseases","certain zoonotic bacterial diseases","fuzzy by subcategory",NA
"027","other zoonotic bacterial diseases","zoonotic bacterial disease","certain infectious and parasitic diseases","certain zoonotic bacterial diseases","fuzzy by subcategory",NA
"02a","abdominal swelling not otherwise specified or abdominal pain","additional diagnostic codes","nan","symptoms and signs involving the digestive system and abdomen","manual by code","r19"
"02b","skin grafting","additional diagnostic codes","nan","no conversion",NA,NA
"030","leprosy","other bacterial diseases","certain infectious and parasitic diseases","other bacterial diseases","fuzzy by subcategory",NA
"031","diseases due to other mycobacteria","other bacterial diseases","certain infectious and parasitic diseases","other bacterial diseases","fuzzy by subcategory",NA
"032","diphtheria","other bacterial diseases","certain infectious and parasitic diseases","other bacterial diseases","fuzzy by subcategory",NA
"033","whooping cough","other bacterial diseases","certain infectious and parasitic diseases","other bacterial diseases","fuzzy by subcategory",NA
"034","streptococcal sore throat and scarlatina","other bacterial diseases","certain infectious and parasitic diseases","other bacterial diseases","fuzzy by subcategory",NA
"035","erysipelas","other bacterial diseases","certain infectious and parasitic diseases","other bacterial diseases","fuzzy by subcategory",NA
"036","meningococcal infection","other bacterial diseases","certain infectious and parasitic diseases","other bacterial diseases","fuzzy by subcategory",NA
"037","tetanus","other bacterial diseases","certain infectious and parasitic diseases","other bacterial diseases","fuzzy by subcategory",NA
"038","septicaemia","other bacterial diseases","certain infectious and parasitic diseases","other bacterial diseases","fuzzy by subcategory",NA
"039","actinomycotic infections","other bacterial diseases","certain infectious and parasitic diseases","other bacterial diseases","fuzzy by subcategory",NA
"03a","pre-operative assessment (dental) – no diagnosis specified","additional diagnostic codes","nan","no conversion",NA,NA
"03b","keloid scarring","additional diagnostic codes","nan","other disorders of the skin and subcutaneous tissue","manual by code","l91"
"040","other bacterial diseases","other bacterial diseases","certain infectious and parasitic diseases","other bacterial diseases","fuzzy by subcategory",NA
"041","bacterial infection in conditions classified elsewhere and of unspecified site","other bacterial diseases","certain infectious and parasitic diseases","other bacterial diseases","fuzzy by subcategory",NA
"042","human immunodeficiency virus (hiv) infection with specified conditions","poliomyelitis and other non-arthropod borne viral diseases of central nervous system","certain infectious and parasitic diseases","human immunodeficiency virus [hiv] disease","fuzzy by code",NA
"043","human immunodeficiency virus (hiv) infection causing other specified conditions","poliomyelitis and other non-arthropod borne viral diseases of central nervous system","certain infectious and parasitic diseases","human immunodeficiency virus [hiv] disease","fuzzy by code",NA
"044","other human immunodeficiency virus (hiv) infection","poliomyelitis and other non-arthropod borne viral diseases of central nervous system","certain infectious and parasitic diseases","no conversion",NA,NA
"045","acute poliomyelitis","poliomyelitis and other non-arthropod borne viral diseases of central nervous system","certain infectious and parasitic diseases","viral and prion infections of the central nervous system","fuzzy by code",NA
"046","slow virus infection of central nervous system","poliomyelitis and other non-arthropod borne viral diseases of central nervous system","certain infectious and parasitic diseases","viral and prion infections of the central nervous system","manual by code","a81"
"047","meningitis due to enterovirus","poliomyelitis and other non-arthropod borne viral diseases of central nervous system","certain infectious and parasitic diseases","viral and prion infections of the central nervous system","fuzzy by code",NA
"048","other enterovirus diseases of central nervous system","poliomyelitis and other non-arthropod borne viral diseases of central nervous system","certain infectious and parasitic diseases","viral and prion infections of the central nervous system","manual by code","a88"
"049","other non-arthropod-borne viral diseases of central nervous system","poliomyelitis and other non-arthropod borne viral diseases of central nervous system","certain infectious and parasitic diseases","viral and prion infections of the central nervous system","manual by code","a88"
"04a","general psychiatric examination – no care required","additional diagnostic codes","nan","persons encountering health services for examinations","manual by code","z00"
"050","smallpox","viral diseases accompanied by exanthem","certain infectious and parasitic diseases","Viral infections characterized by skin and mucous membrane lesions","manual by category",NA
"051","cowpox and paravaccinia","viral diseases accompanied by exanthem","certain infectious and parasitic diseases","Viral infections characterized by skin and mucous membrane lesions","manual by category",NA
"052","chickenpox","viral diseases accompanied by exanthem","certain infectious and parasitic diseases","Viral infections characterized by skin and mucous membrane lesions","manual by category",NA
"053","herpes zoster","viral diseases accompanied by exanthem","certain infectious and parasitic diseases","Viral infections characterized by skin and mucous membrane lesions","manual by category",NA
"054","herpes simplex","viral diseases accompanied by exanthem","certain infectious and parasitic diseases","Viral infections characterized by skin and mucous membrane lesions","manual by category",NA
"055","measles","viral diseases accompanied by exanthem","certain infectious and parasitic diseases","Viral infections characterized by skin and mucous membrane lesions","manual by category",NA
"056","rubella","viral diseases accompanied by exanthem","certain infectious and parasitic diseases","Viral infections characterized by skin and mucous membrane lesions","manual by category",NA
"057","other viral exanthemata","viral diseases accompanied by exanthem","certain infectious and parasitic diseases","Viral infections characterized by skin and mucous membrane lesions","manual by category",NA
"05a","growth and development","additional diagnostic codes","nan","persons encountering health services for examinations","manual by code","z00"
"060","yellow fever","arthropod-borne viral diseases","certain infectious and parasitic diseases","Arthropod-borne viral fevers and viral haemorrhagic fevers","Arthropod-borne viral fevers and viral haemorrhagic fevers",NA
"061","dengue","arthropod-borne viral diseases","certain infectious and parasitic diseases","Arthropod-borne viral fevers and viral haemorrhagic fevers","Arthropod-borne viral fevers and viral haemorrhagic fevers",NA
"062","mosquito-borne viral encephalitis","arthropod-borne viral diseases","certain infectious and parasitic diseases","Arthropod-borne viral fevers and viral haemorrhagic fevers","Arthropod-borne viral fevers and viral haemorrhagic fevers",NA
"063","tick-borne viral encephalitis","arthropod-borne viral diseases","certain infectious and parasitic diseases","Arthropod-borne viral fevers and viral haemorrhagic fevers","Arthropod-borne viral fevers and viral haemorrhagic fevers",NA
"064","viral encephalitis transmitted by other and unspecified arthropods","arthropod-borne viral diseases","certain infectious and parasitic diseases","Arthropod-borne viral fevers and viral haemorrhagic fevers","Arthropod-borne viral fevers and viral haemorrhagic fevers",NA
"065","arthropod-borne haemorrhagic fever","arthropod-borne viral diseases","certain infectious and parasitic diseases","Arthropod-borne viral fevers and viral haemorrhagic fevers","Arthropod-borne viral fevers and viral haemorrhagic fevers",NA
"066","other arthropod-borne viral diseases","arthropod-borne viral diseases","certain infectious and parasitic diseases","Arthropod-borne viral fevers and viral haemorrhagic fevers","Arthropod-borne viral fevers and viral haemorrhagic fevers",NA
"06a","feeding and management talk/anxiety of mother","additional diagnostic codes","nan","general symptoms and signs","manual by code","r63"
"06b","syringing of ears","additional diagnostic codes","nan","no conversion",NA,NA
"070","viral hepatitis","other diseases due to viruses and chlamydiae","certain infectious and parasitic diseases","viral hepatitis","fuzzy by code",NA
"071","rabies","other diseases due to viruses and chlamydiae","certain infectious and parasitic diseases","viral and prion infections of the central nervous system","fuzzy by code",NA
"072","mumps","other diseases due to viruses and chlamydiae","certain infectious and parasitic diseases","other viral diseases","fuzzy by code",NA
"073","ornithosis","other diseases due to viruses and chlamydiae","certain infectious and parasitic diseases","other diseases caused by chlamydiae","manual by code","a70"
"074","specific diseases due to coxsackie virus","other diseases due to viruses and chlamydiae","certain infectious and parasitic diseases","other viral diseases","manual by code","b33"
"075","infectious mononucleosis","other diseases due to viruses and chlamydiae","certain infectious and parasitic diseases","other viral diseases","fuzzy by code",NA
"076","trachoma","other diseases due to viruses and chlamydiae","certain infectious and parasitic diseases","other diseases caused by chlamydiae","fuzzy by code",NA
"077","other diseases of conjunctiva due to viruses and chlamydiae","other diseases due to viruses and chlamydiae","certain infectious and parasitic diseases","disorders of conjunctiva","manual by code","h11"
"078","other diseases due to viruses and chlamydiae","other diseases due to viruses and chlamydiae","certain infectious and parasitic diseases","other diseases caused by chlamydiae","fuzzy by code",NA
"079","viral infection in conditions classified elsewhere and of unspecified site","other diseases due to viruses and chlamydiae","certain infectious and parasitic diseases","other viral diseases","fuzzy by code",NA
"07a","feeding problem","additional diagnostic codes","nan","general symptoms and signs","manual by code","r63"
"080","louse-borne (epidemic) typhus","rickettsiosis and other arthropod-borne diseases","certain infectious and parasitic diseases","rickettsioses","fuzzy by code",NA
"081","other typhus","rickettsiosis and other arthropod-borne diseases","certain infectious and parasitic diseases","rickettsioses","fuzzy by code",NA
"082","tick-borne rickettsioses","rickettsiosis and other arthropod-borne diseases","certain infectious and parasitic diseases","rickettsioses","fuzzy by code",NA
"083","other rickettsioses","rickettsiosis and other arthropod-borne diseases","certain infectious and parasitic diseases","rickettsioses","fuzzy by code",NA
"084","malaria","rickettsiosis and other arthropod-borne diseases","certain infectious and parasitic diseases","protozoal diseases","fuzzy by code",NA
"085","leishmaniasis","rickettsiosis and other arthropod-borne diseases","certain infectious and parasitic diseases","protozoal diseases","fuzzy by code",NA
"086","trypanosomiasis","rickettsiosis and other arthropod-borne diseases","certain infectious and parasitic diseases","protozoal diseases","fuzzy by code",NA
"087","relapsing fever","rickettsiosis and other arthropod-borne diseases","certain infectious and parasitic diseases","other spirochetal diseases","fuzzy by code",NA
"088","other arthropod-borne diseases","rickettsiosis and other arthropod-borne diseases","certain infectious and parasitic diseases","arthropod-borne viral fevers and viral hemorrhagic fevers","fuzzy by code",NA
"08a","healthy newborn care","additional diagnostic codes","nan","no conversion",NA,NA
"08b","congenital anomalies of the lower respiratory system","additional diagnostic codes","nan","congenital malformations of the respiratory system","manual by code","q34"
"090","congenital syphilis","syphilis and other venereal diseases","certain infectious and parasitic diseases","infections with a predominantly sexual mode of transmission","fuzzy by code",NA
"091","early syphilis, symptomatic","syphilis and other venereal diseases","certain infectious and parasitic diseases","infections with a predominantly sexual mode of transmission","fuzzy by code",NA
"092","early syphilis, latent","syphilis and other venereal diseases","certain infectious and parasitic diseases","infections with a predominantly sexual mode of transmission","fuzzy by code",NA
"093","cardiovascular syphilis","syphilis and other venereal diseases","certain infectious and parasitic diseases","infections with a predominantly sexual mode of transmission","manual by code","a52"
"094","neurosyphilis","syphilis and other venereal diseases","certain infectious and parasitic diseases","infections with a predominantly sexual mode of transmission","manual by code","a52"
"095","other forms of late syphilis, with symptoms","syphilis and other venereal diseases","certain infectious and parasitic diseases","infections with a predominantly sexual mode of transmission","fuzzy by code",NA
"096","late syphilis, latent","syphilis and other venereal diseases","certain infectious and parasitic diseases","infections with a predominantly sexual mode of transmission","fuzzy by code",NA
"097","other and unspecified syphilis","syphilis and other venereal diseases","certain infectious and parasitic diseases","infections with a predominantly sexual mode of transmission","fuzzy by code",NA
"098","gonococcal infections","syphilis and other venereal diseases","certain infectious and parasitic diseases","infections with a predominantly sexual mode of transmission","fuzzy by code",NA
"099","other venereal diseases","syphilis and other venereal diseases","certain infectious and parasitic diseases","infections with a predominantly sexual mode of transmission","manual by code","a64"
"100","leptospirosis","other spirochaetal diseases","certain infectious and parasitic diseases","other spirochetal diseases","fuzzy by subcategory",NA
"101","vincent's angina","other spirochaetal diseases","certain infectious and parasitic diseases","other spirochetal diseases","fuzzy by subcategory",NA
"102","yaws","other spirochaetal diseases","certain infectious and parasitic diseases","other spirochetal diseases","fuzzy by subcategory",NA
"103","pinta","other spirochaetal diseases","certain infectious and parasitic diseases","other spirochetal diseases","fuzzy by subcategory",NA
"104","other spirochaetal infection","other spirochaetal diseases","certain infectious and parasitic diseases","other spirochetal diseases","fuzzy by subcategory",NA
"10a","emergency care – assault","additional diagnostic codes","nan","no conversion",NA,NA
"10b","consultation re sterilization – male","additional diagnostic codes","nan","persons encountering health services in circumstances related to reproduction","manual by code","z30"
"110","dermatophytosis","other spirochaetal diseases","certain infectious and parasitic diseases","other spirochetal diseases","fuzzy by subcategory",NA
"111","dermatomycosis, other and unspecified","other spirochaetal diseases","certain infectious and parasitic diseases","other spirochetal diseases","fuzzy by subcategory",NA
"112","candidiasis","other spirochaetal diseases","certain infectious and parasitic diseases","other spirochetal diseases","fuzzy by subcategory",NA
"114","coccidioidomycosis","other spirochaetal diseases","certain infectious and parasitic diseases","other spirochetal diseases","fuzzy by subcategory",NA
"115","histoplasmosis","other spirochaetal diseases","certain infectious and parasitic diseases","other spirochetal diseases","fuzzy by subcategory",NA
"116","blastomycotic infection","other spirochaetal diseases","certain infectious and parasitic diseases","other spirochetal diseases","fuzzy by subcategory",NA
"117","other mycoses","other spirochaetal diseases","certain infectious and parasitic diseases","other spirochetal diseases","fuzzy by subcategory",NA
"118","opportunistic mycoses","other spirochaetal diseases","certain infectious and parasitic diseases","other spirochetal diseases","fuzzy by subcategory",NA
"11a","nothing abnormal discovered","additional diagnostic codes","nan","no conversion",NA,NA
"11b","genetic counselling – male","additional diagnostic codes","nan","persons encountering health services in circumstances related to reproduction","manual by code","z31"
"120","schistosomiasis (bilharziasis)","helminthiases","certain infectious and parasitic diseases","helminthiases","fuzzy by subcategory",NA
"121","other trematode infections","helminthiases","certain infectious and parasitic diseases","helminthiases","fuzzy by subcategory",NA
"122","echinococcosis","helminthiases","certain infectious and parasitic diseases","helminthiases","fuzzy by subcategory",NA
"123","other cestode infection","helminthiases","certain infectious and parasitic diseases","helminthiases","fuzzy by subcategory",NA
"124","trichinosis","helminthiases","certain infectious and parasitic diseases","helminthiases","fuzzy by subcategory",NA
"125","filarial infection and dracontiasis","helminthiases","certain infectious and parasitic diseases","helminthiases","fuzzy by subcategory",NA
"126","ancylostomiasis and necatoriasis","helminthiases","certain infectious and parasitic diseases","helminthiases","fuzzy by subcategory",NA
"127","other intestinal helminthiases","helminthiases","certain infectious and parasitic diseases","helminthiases","fuzzy by subcategory",NA
"128","other and unspecified helminthiases","helminthiases","certain infectious and parasitic diseases","helminthiases","fuzzy by subcategory",NA
"129","intestinal parasitism, unspecified","helminthiases","certain infectious and parasitic diseases","helminthiases","fuzzy by subcategory",NA
"12a","epistaxis/cautery","additional diagnostic codes","nan","symptoms and signs involving the circulatory and respiratory systems","manual by code","r04"
"12b","sterilization – male","additional diagnostic codes","nan","persons encountering health services in circumstances related to reproduction","manual by code","z30"
